id,team_name,fruit_id,circumference_in_cm,pole_to_pole_in_cm,weight_in_gm,vol_in_ml
1,Uruguava,1,23.7,24,206,280
2,Uruguava,2,26,22,295,350
3,Uruguava,3,23,22,240,200
4,Uruguava,4,20,21,133,170
5,chillipilli,1,27.47,26.67,294.67,393.33
6,chillipilli,2,22.8,22.1,177.33,200
7,chillipilli,3,19.73,20.07,126.33,121.67
8,chillipilli,4,21.17,20.73,142.33,171.67
9,chillipilli,5,20.1,19.47,131,118.33
10,venezuela,1,27,27,317,315
11,venezuela,2,22.5,22.7,182,195
12,venezuela,3,20.5,20.3,126,120
13,venezuela,4,20.5,20,136,125
14,venezuela,5,19.5,20,134,190
15,venezuela,6,21,22,120,183
16,Peru,1,27.8,27.5,318,325
17,Peru,2,24.8,23,217,240
18,Peru,3,23,23.2,186,200
19,Peru,4,21.3,20,141,150
20,Peru,5,20.2,21.1,166,180
21,guiana,1,30.13,29.33,365,400
22,guiana,2,22.5,22.37,172,175
23,guiana,3,21.33,21.23,152,170
24,guiana,4,21.67,21.13,148,140
25,guiana,5,18.77,18,93,100
26,Peru Peru,1,27.5,27.5,314,350
27,Peru Peru,2,19,20,112,120
28,Peru Peru,3,18.5,18,93,100
